SPEC_ID	TABLE_NAME	COLUMN_NAME	VALUE_TYPE	NULLABLE	PRIMARY_KEY_NAME	PRIMARY_KEY_PART	FOREIGN_KEY_NAME	FOREIGN_KEY_PART	REFERENCES_TABLE	REFERENCES_COLUMN	CARDINALITY
COMMERCE	CUSTOMER	CUSTOMER_ID	IDENTIFIER	FALSE	CUSTOMERKEY	1					
COMMERCE	CUSTOMER	CUSTOMERNAME	STRING	FALSE							
COMMERCE	TRANSACTION	TRANSACTIONID	IDENTIFIER	FALSE	TRANSACTIONKEY	1					
COMMERCE	TRANSACTION	TRANSACTIONCUSTOMERID	IDENTIFIER	FALSE			TRANSACTIONCUSTOMER	1	CUSTOMER	CUSTOMER_ID	MANY_TO_ONE
COMMERCE	TRANSACTION	NETSALES	NUMBER	FALSE							
COMMERCE	TRANSACTION	ISQUALIFYINGSALE	BOOLEAN	FALSE							
